Time,Address,Range,Rxpower,Position X,Position Y,Position Z,Orientation X,Orientation Y,Orientation Z,Orientation W
2024-06-12 17:21:13.042384,83,3.04,-68.32,2.196341064453125,-0.389379150390625,1.8637725830078125,0.014561287601261113,-0.009838751203581722,-0.007900486987118463,0.9998143590037185
2024-06-12 17:21:13.206901,83,3.01,-67.2,2.15144140625,-0.46333465576171873,1.8625067138671876,0.0017981950598791707,-0.010442821978745348,-0.006129268701113275,0.9999250667034373
2024-06-12 17:21:13.372361,83,2.94,-64.86,2.101141357421875,-0.529625,1.82084814453125,-0.017614189118284683,-0.040084479254934705,-0.004813550665340135,0.9990294261465751
2024-06-12 17:21:13.538167,83,2.86,-68.03,2.04071240234375,-0.5780191650390625,1.733962646484375,-0.013594894653321206,-0.0378210987677623,-0.005896514348599841,0.9991746491579158
2024-06-12 17:21:13.702205,83,2.89,-67.89,1.9713878173828125,-0.6070276489257812,1.63803466796875,-0.006309246760046885,-0.030425831442218963,-0.004314962462308485,0.9995078052766533
2024-06-12 17:21:13.868621,83,2.76,-67.51,1.8884356689453126,-0.62416455078125,1.531484619140625,0.00011983620186285728,-0.025602948233019302,-0.0025056132830348263,0.9996690425975477
2024-06-12 17:21:14.032645,83,2.8,-67.09,1.8041356201171874,-0.6310518188476563,1.4297076416015626,0.002674408519815201,-0.023798894055450322,-0.0020534433618847885,0.9997110843529705
2024-06-12 17:21:14.362082,83,2.84,-66.59,1.61728369140625,-0.6257244262695313,1.2363643798828126,0.008191467947417375,-0.01860789893049546,0.0001899216004573073,0.9997932771753364
2024-06-12 17:21:14.529736,83,2.85,-66.17,1.5168876953125,-0.6157587280273438,1.15679150390625,0.008457935158054378,-0.016317492966065755,0.0036415222661847543,0.999824456363933
2024-06-12 17:21:14.692029,83,2.89,-64.35,1.4153353271484375,-0.6017936401367188,1.089638427734375,0.008916676458370586,-0.014364497651146245,0.006740297048951187,0.99983435242319
2024-06-12 17:21:14.857179,83,2.93,-65.74,1.3197232666015626,-0.5854876708984375,1.0382711181640625,0.008388646439117737,-0.014137721222632169,0.008419888327766087,0.9998294118576568
2024-06-12 17:21:15.022258,83,3.02,-67.77,1.2242696533203126,-0.5662078247070312,0.9996484985351562,0.010154058974643358,-0.01415046709083518,0.009500480896964173,0.9998031884472998
2024-06-12 17:21:15.187100,83,3.02,-67.31,1.1234149169921874,-0.5429613647460938,0.9719719848632813,0.008599462771878365,-0.011989768700463439,0.009061758185218627,0.9998500756291508
2024-06-12 17:21:15.352359,83,3.12,-68.23,1.0236739501953125,-0.5172001342773438,0.9536853637695313,0.008295510926572906,-0.012141641151983885,0.008095789064893836,0.9998590995944501
2024-06-12 17:21:15.519002,83,3.22,-68.75,0.9312197265625,-0.49028518676757815,0.93900634765625,0.007548990907946489,-0.012250696040134878,0.007223725777325576,0.9998703663963391
2024-06-12 17:21:15.682452,83,3.26,-69.88,0.8398267211914062,-0.46084429931640625,0.9267022094726562,0.005418702878157184,-0.011997691682157936,0.00608502296444723,0.99989482952446
2024-06-12 17:21:15.848639,83,3.38,-68.96,0.7440057983398437,-0.4261905212402344,0.9166800537109375,0.008786838816126904,-0.014216980741959106,0.005417884061479753,0.9998456418591363
2024-06-12 17:21:16.012603,83,3.41,-69.48,0.65419580078125,-0.39232196044921874,0.9074367065429687,0.010190578638489088,-0.016538317824305846,0.006101621560873912,0.999792681005469
2024-06-12 17:21:16.177700,83,3.52,-69.43,0.5577072143554688,-0.35606539916992186,0.8987686767578125,0.01188208104672167,-0.01632619860227412,0.004644424712209701,0.9997853257304816
2024-06-12 17:21:16.342271,83,3.63,-70.18,0.466023681640625,-0.3210908203125,0.892438720703125,0.012060033408441242,-0.013765353497367827,0.001597176568823778,0.9998312450115178
2024-06-12 17:21:16.507553,83,3.76,-69.01,0.36863824462890626,-0.2827130737304687,0.8867987670898437,0.01407574674558098,-0.015042788271107096,0.0003511994865925859,0.9997877104253619
2024-06-12 17:21:16.671993,83,3.83,-68.81,0.27537802124023436,-0.24676092529296875,0.88162890625,0.014891206661027273,-0.015342389829659993,0.0014285143211349564,0.9997703839971515
2024-06-12 17:21:16.845399,83,3.93,-68.38,0.16975164794921874,-0.2061095275878906,0.8755189208984375,0.01589090885722748,-0.013561830797876996,0.005418827569340257,0.999767067721817
2024-06-12 17:21:17.003324,83,4.0,-69.92,0.08119826507568359,-0.1730631561279297,0.8705598754882813,0.010772554519213709,-0.012473415053633757,0.009592432454283609,0.9998181594981286
2024-06-12 17:21:17.167402,83,4.13,-68.85,-0.018884130477905273,-0.1361005859375,0.8656490478515625,0.011248570092734828,-0.014162701164791167,0.01096435953620531,0.9997763160037959
2024-06-12 17:21:17.497110,83,4.26,-71.1,-0.21775053405761718,-0.060129947662353515,0.8584755859375,0.011511958315105883,-0.01224857788875574,0.010666165168885394,0.9998018247217237
2024-06-12 17:21:17.827227,83,4.56,-69.99,-0.41641366577148436,0.015135940551757812,0.8591525268554687,0.011180703339943355,-0.006119867150921919,0.0077295052711364035,0.9998888982209166
2024-06-12 17:21:18.158209,83,4.71,-70.75,-0.5980110473632813,0.0868735122680664,0.8622747802734375,0.009786261006210627,-0.010992789710558615,0.00015154372078709114,0.9998916775924099
2024-06-12 17:21:18.487055,83,4.93,-69.27,-0.767398193359375,0.15878759765625,0.864095458984375,0.009645346356459784,-0.013019112795870088,-0.0046451579006154,0.9998579371394108
