Time,Position X,Position Y,Position Z,Orientation X,Orientation Y,Orientation Z,Orientation W
2024-06-12 16:36:03.785537,0.04110341644287109,-0.021317922592163085,0.07646676635742188,0.017819609773450564,-0.02080593465207956,-0.055294457033083146,0.9980942328577395
2024-06-12 16:37:05.423831,0.041078109741210934,-0.021871313095092774,0.0770238037109375,0.02476028546827244,-0.02068399349783905,-0.05483021489506995,0.9979743184629666
2024-06-12 16:37:05.952529,0.04072312927246094,-0.02318852424621582,0.07724502563476562,0.033380563935107785,-0.019467601661910854,-0.05493117753675264,0.9977421080612434
2024-06-12 16:37:05.962477,0.04106266403198242,-0.02270870018005371,0.07737049865722656,0.03300687457805261,-0.019853220931271263,-0.0536951443111449,0.9978142260026683
2024-06-12 16:37:06.095835,0.0410931510925293,-0.022555919647216798,0.07747242736816407,0.03159693403989413,-0.019790519791442723,-0.05430002028566444,0.9978283756807913
2024-06-12 16:37:06.152533,0.04070209121704101,-0.02306106948852539,0.0774770278930664,0.03472065389072518,-0.01958514711745416,-0.05441081862281446,0.9977225879788095
2024-06-12 16:37:06.162454,0.04095326614379883,-0.022960502624511717,0.07777803039550782,0.03543633695330027,-0.02006664452512554,-0.05345355760291461,0.997739598997821
2024-06-12 16:37:06.222645,0.04080905914306641,-0.02288759994506836,0.07736455535888671,0.03665883564338929,-0.018106406599165254,-0.053032068530805124,0.997755429887537
2024-06-12 16:37:06.242611,0.04037184906005859,-0.022840166091918947,0.07770873260498047,0.03755969103993947,-0.019124702778499453,-0.05159402103701323,0.9977783170269451
2024-06-12 16:37:06.283845,0.04039534378051758,-0.022900339126586913,0.07784680938720703,0.0396789661739819,-0.019399834391355612,-0.05127248623166564,0.9977075556121894
2024-06-12 16:37:06.314056,0.04095186996459961,-0.023330802917480468,0.0779029541015625,0.041538936335326106,-0.019596628340239036,-0.05187224540598504,0.9975969901890117
2024-06-12 16:37:06.502333,0.041260231018066404,-0.023005048751831056,0.07800264739990234,0.03911226552055552,-0.018966017468326473,-0.04695565780517527,0.9979507489579501
2024-06-12 16:37:06.513645,0.04118862533569336,-0.02296769905090332,0.0780458984375,0.040320873274113087,-0.018728840443460248,-0.04690875370927674,0.997909327395746
2024-06-12 16:37:06.523206,0.041226699829101564,-0.023258674621582032,0.07803082275390626,0.0414381122788189,-0.018293601714888422,-0.046258306863267186,0.9979019955702754
2024-06-12 16:37:06.533195,0.041122936248779295,-0.02327609443664551,0.07805062866210938,0.04250956650159235,-0.0181584013422257,-0.04632874679445954,0.9978561293743322
2024-06-12 16:37:06.543197,0.04117845916748047,-0.02337529945373535,0.07805619812011719,0.04356380670441724,-0.018036418140620708,-0.04545934627806174,0.997852859003431
2024-06-12 16:37:06.552755,0.041149444580078125,-0.023301815032958983,0.07799267578125,0.044869023282377886,-0.018229817914334503,-0.04526780809501398,0.9978002105300156
2024-06-12 16:37:06.572950,0.04102031326293945,-0.02348507499694824,0.07814402008056641,0.04590975277703263,-0.018825457337257396,-0.043963053694099585,0.9978001582609691
2024-06-12 16:37:06.602765,0.041107955932617186,-0.023392681121826173,0.07825829315185547,0.04482807219717607,-0.018923803934869872,-0.042008202080676266,0.99793168091811
2024-06-12 16:37:06.623656,0.041169166564941406,-0.023214136123657227,0.07828524780273438,0.043695300453333565,-0.018663850031426645,-0.041365491765092556,0.9980136694115344
2024-06-12 16:37:06.692388,0.041279788970947265,-0.02299325942993164,0.07816581726074219,0.04015604226063198,-0.017766548825875795,-0.03824517360948463,0.9983031360079827
2024-06-12 16:37:06.753676,0.041285762786865236,-0.022535833358764648,0.07819246673583985,0.038923629209386565,-0.018301529592191244,-0.03524144508422807,0.998452822548266
2024-06-12 16:37:06.793628,0.04129801940917969,-0.022590036392211913,0.07823585510253907,0.04058693898199502,-0.018610665416211588,-0.03444108882952724,0.9984088099600672
2024-06-12 16:37:06.873512,0.04148451232910156,-0.02267273712158203,0.07835089111328125,0.04274588621103428,-0.01753107943940773,-0.030803360048231348,0.9984571057993049
2024-06-12 16:37:06.894539,0.04144989395141602,-0.022682226181030274,0.07838561248779297,0.04279343585873341,-0.01764190717861817,-0.03001159502740989,0.9984772308635105
2024-06-12 16:37:06.904109,0.041511142730712894,-0.022885892868041994,0.07821903991699218,0.042135505586409286,-0.017194643688066967,-0.02931803225505157,0.9985336266391669
2024-06-12 16:37:06.962955,0.041603469848632814,-0.02255605125427246,0.07825740814208984,0.042020568820131936,-0.017020222165220457,-0.025834758212301908,0.9986376497601779
2024-06-12 16:37:06.984625,0.04159174346923828,-0.02266840171813965,0.07834082794189454,0.041721952047534434,-0.016965589906548787,-0.02476865042232528,0.9986781085593526
2024-06-12 16:37:07.034863,0.04168069076538086,-0.022571861267089845,0.07830660247802734,0.040655306589006436,-0.01649510801302947,-0.02308822675468797,0.9987702407743385
2024-06-12 16:37:07.044173,0.0418182487487793,-0.022464527130126952,0.07828850555419922,0.04027754761220103,-0.01657825775830277,-0.021972454167951655,0.9988093365814353
2024-06-12 16:37:07.122921,0.04186923980712891,-0.022390888214111327,0.07837810516357421,0.04080375258402044,-0.01655970594340166,-0.01706103558435987,0.9988842566109839
2024-06-12 16:37:07.144014,0.04173250579833984,-0.022447845458984376,0.07847706604003907,0.04148522785058282,-0.017160592296798102,-0.0156830090160541,0.9988686300873488
2024-06-12 16:37:07.163991,0.04170136642456055,-0.022569326400756835,0.07858304595947266,0.042525879525565496,-0.016950958306049674,-0.014189313740670756,0.9988507804941837
